"","Entity.A.Type","Entity.A","Entity.B.Type","Entity.B","Connection"
"2788","Organization","THE TRUMP MARKS REAL ESTATE CORP.","Organization","TRUMP MARKS REAL ESTATE LLC","Ownership"
"2800","Organization","THE TRUMP ORGANIZATION, INC.","Organization","TRUMP INTERNATIONAL GOLF CLUB SCOTLAND LIMITED","Ownership"
"2802","Organization","THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY","Organization","FIFTY-SEVENTH STREET ASSOCIATES LLC","Ownership"
"2803","Organization","THE TRUMP-EQUITABLE FIFTH AVENUE COMPANY","Organization","TRUMP TOWER COMMERCIAL LLC","Ownership"
"2831","Organization","THRIVE CAPITAL","Organization","42FLOORS","Investor"
"2832","Organization","THRIVE CAPITAL","Organization","ALBUMATIC","Investor"
"2833","Organization","THRIVE CAPITAL","Organization","AND CO","Investor"
"2834","Organization","THRIVE CAPITAL","Organization","ARTSY","Investor"
"2835","Organization","THRIVE CAPITAL","Organization","BABY.COM.BR","Investor"
"2836","Organization","THRIVE CAPITAL","Organization","BENCHLING","Investor"
"2837","Organization","THRIVE CAPITAL","Organization","BONDSY","Investor"
"2838","Organization","THRIVE CAPITAL","Organization","CHAIN","Investor"
"2839","Organization","THRIVE CAPITAL","Organization","CLASSPASS","Investor"
"2840","Organization","THRIVE CAPITAL","Organization","CODECADEMY","Investor"
"2841","Organization","THRIVE CAPITAL","Organization","COMPASS REAL ESTATE","Investor"
"2842","Organization","THRIVE CAPITAL","Organization","CUE","Investor"
"2843","Organization","THRIVE CAPITAL","Organization","DISPATCH.IO","Investor"
"2844","Organization","THRIVE CAPITAL","Organization","DWOLLA","Investor"
"2845","Organization","THRIVE CAPITAL","Organization","FAB.COM","Investor"
"2846","Organization","THRIVE CAPITAL","Organization","FIFTYTHREE","Investor"
"2847","Organization","THRIVE CAPITAL","Organization","FLATIRON SCHOOL","Investor"
"2848","Organization","THRIVE CAPITAL","Organization","GIFTLY","Investor"
"2849","Organization","THRIVE CAPITAL","Organization","GITHUB","Investor"
"2850","Organization","THRIVE CAPITAL","Organization","GLOSSIER","Investor"
"2851","Organization","THRIVE CAPITAL","Organization","GOBBLE","Investor"
"2852","Organization","THRIVE CAPITAL","Organization","GREENHOUSE","Investor"
"2853","Organization","THRIVE CAPITAL","Organization","GROUPME","Investor"
"2854","Organization","THRIVE CAPITAL","Organization","HARRY'S RAZOR COMPANY","Investor"
"2855","Organization","THRIVE CAPITAL","Organization","HIGHTOWER","Investor"
"2856","Organization","THRIVE CAPITAL","Organization","HONEST BUILDINGS","Investor"
"2857","Organization","THRIVE CAPITAL","Organization","HONOR","Investor"
"2858","Organization","THRIVE CAPITAL","Organization","HOT POTATO","Investor"
"2859","Organization","THRIVE CAPITAL","Organization","HOWABOUTWE","Investor"
"2860","Organization","THRIVE CAPITAL","Organization","HYPERPUBLIC","Investor"
"2861","Organization","THRIVE CAPITAL","Organization","IMBELLUS","Investor"
"2862","Organization","THRIVE CAPITAL","Organization","INSTACART","Investor"
"2863","Organization","THRIVE CAPITAL","Organization","INSTAGRAM","Investor"
"2864","Organization","THRIVE CAPITAL","Organization","INTO THE GLOSS","Investor"
"2866","Organization","THRIVE CAPITAL","Organization","JELLO LABS","Investor"
"2867","Organization","THRIVE CAPITAL","Organization","JET.COM","Investor"
"2868","Organization","THRIVE CAPITAL","Organization","JIBE","Investor"
"2869","Organization","THRIVE CAPITAL","Organization","JOYABLE","Investor"
"2870","Organization","THRIVE CAPITAL","Organization","JUICERO","Investor"
"2871","Organization","THRIVE CAPITAL","Organization","JUMP RAMP GAMES","Investor"
"2872","Organization","THRIVE CAPITAL","Organization","JUSTWORKS","Investor"
"2873","Organization","THRIVE CAPITAL","Organization","KICKSTARTER","Investor"
